node,gen
1,0.0
1,0.0
1,0.0
1,1252.6585918989354
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
4,0.0
4,0.0
4,0.0
4,0.0
4,0.0
4,0.0
4,0.0
4,0.0
5,0.0
5,0.0
5,0.0
5,0.0
5,0.0
5,0.0
6,0.0
6,3615.4619347782063
6,96.27802747
6,104.3038192
7,0.0
7,0.0
7,0.0
7,0.0
7,0.0
7,0.0
7,0.0
7,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,0.0
8,2398.91761
8,1431.699511
8,2348.437261
8,187.6322556
8,12.1496757
8,36.0
8,33.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,0.0
9,71.28004140282752
9,459.2099384
9,44.70163774
10,0.0
11,0.0
11,0.0
11,0.0
11,0.0
11,0.0
11,0.0
11,0.0
11,0.0
11,0.0
11,0.0
11,0.0
11,0.0
11,0.0
11,0.0
12,0.0
12,0.0
12,0.0
12,0.0
12,0.0
12,0.0
12,0.0
12,0.0
12,0.0
12,0.0
12,0.0
12,0.0
12,0.0
12,0.0
12,887.4524703562793
12,884.0405418
13,0.0
13,0.0
13,0.0
13,0.0
13,0.0
13,0.0
13,3699.336476
13,768.3574846
13,833.2900443
14,0.0
14,0.0
14,0.0
14,0.0
14,0.0
14,0.0
14,0.0
14,0.0
14,0.0
14,0.0
14,0.0
14,0.0
14,0.0
15,0.0
15,0.0
15,0.0
15,0.0
15,0.0
15,0.0
15,0.0
15,0.0
15,204.1052455
15,2903.41823
15,6.30407691
16,0.0
16,0.0
16,0.0
16,0.0
16,0.0
16,0.0
16,0.0
16,0.0
16,0.0
16,0.0
16,0.0
16,0.0
16,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,0.0
17,3127.080684
17,1085.379011
17,2278.041431
18,0.0
18,0.0
18,0.0
18,0.0
18,0.0
18,0.0
18,0.0
18,13.05000019
18,0.0
18,0.0
18,0.0
18,0.0
18,0.0
19,0.0
19,0.0
19,0.0
19,0.0
19,0.0
19,0.0
19,0.0
19,0.0
19,0.0
19,525.735614
19,4125.522432
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,0.0
20,3707.1369748301713
20,661.0
20,36.0
21,0.0
21,0.0
21,0.0
21,0.0
21,0.0
21,0.0
21,0.0
21,0.0
21,0.0
21,9551.703496621529
21,0.0
21,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
22,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,10.58500004
23,0.0
23,0.0
23,7134.933549782946
23,0.0
23,0.0
24,0.0
24,0.0
24,0.0
24,151.4329228
24,4108.332772
25,0.0
25,0.0
25,0.0
25,0.0
25,0.0
25,0.0
25,0.0
25,0.0
25,0.0
25,0.0
25,0.0
25,0.0
25,0.0
25,0.0
25,0.0
26,0.0
26,0.0
26,0.0
26,0.0
26,0.0
26,0.0
26,0.0
26,0.0
26,0.0
26,0.0
26,0.0
26,0.0
26,0.0
26,0.0
27,0.0
27,0.0
27,0.0
27,0.0
27,0.0
27,0.0
27,0.0
27,0.0
27,0.0
27,0.0
27,893.4516239
27,3604.920815
27,33.0
28,0.0
28,0.0
28,0.0
28,0.0
28,0.0
29,0.0
29,0.0
29,0.0
29,0.0
29,6.584040163
29,2891.139919
